,Date,Home Team,Away Team,Home Score,Away Score,Tournament,City,Country,Neutral,Outcome,Winning Team,Losing Team,Total Goals,Year,Decade,Month,Month Name,Day of Week
8103,1971-11-10,Scotland,Belgium,1,0,UEFA Euro qualification,Aberdeen,Scotland,False,H,Scotland,Belgium,1,1971,1970,11,November,Wednesday
8268,1972-04-26,Scotland,Peru,2,0,Friendly,Glasgow,Scotland,False,H,Scotland,Peru,2,1972,1970,4,April,Wednesday
8303,1972-05-20,Scotland,Northern Ireland,2,0,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,2,1972,1970,5,May,Saturday
8309,1972-05-24,Scotland,Wales,1,0,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,1,1972,1970,5,May,Wednesday
8509,1972-10-18,Denmark,Scotland,1,4,FIFA World Cup qualification,Copenhagen,Denmark,False,A,Scotland,Denmark,5,1972,1970,10,October,Wednesday
8535,1972-11-15,Scotland,Denmark,2,0,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Denmark,2,1972,1970,11,November,Wednesday
8724,1973-05-12,Wales,Scotland,0,2,British Championship,Wrexham,Wales,False,A,Scotland,Wales,2,1973,1970,5,May,Saturday
8937,1973-09-26,Scotland,Czechoslovakia,2,1,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Czechoslovakia,3,1973,1970,9,September,Wednesday
9163,1974-05-14,Scotland,Wales,2,0,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,2,1974,1970,5,May,Tuesday
9169,1974-05-18,Scotland,England,2,0,British Championship,Glasgow,Scotland,False,H,Scotland,England,2,1974,1970,5,May,Saturday
9191,1974-06-06,Norway,Scotland,1,2,Friendly,Oslo,Norway,False,A,Scotland,Norway,3,1974,1970,6,June,Thursday
9198,1974-06-14,DR Congo,Scotland,0,2,FIFA World Cup,Dortmund,Germany,True,A,Scotland,DR Congo,2,1974,1970,6,June,Friday
9318,1974-10-30,Scotland,German DR,3,0,Friendly,Glasgow,Scotland,False,H,Scotland,German DR,3,1974,1970,10,October,Wednesday
9510,1975-05-13,Scotland,Portugal,1,0,Friendly,Glasgow,Scotland,False,H,Scotland,Portugal,1,1975,1970,5,May,Tuesday
9519,1975-05-20,Scotland,Northern Ireland,3,0,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,3,1975,1970,5,May,Tuesday
9683,1975-09-03,Denmark,Scotland,0,1,UEFA Euro qualification,Copenhagen,Denmark,False,A,Scotland,Denmark,1,1975,1970,9,September,Wednesday
9730,1975-10-29,Scotland,Denmark,3,1,UEFA Euro qualification,Glasgow,Scotland,False,H,Scotland,Denmark,4,1975,1970,10,October,Wednesday
9884,1976-04-07,Scotland,Switzerland,1,0,Friendly,Glasgow,Scotland,False,H,Scotland,Switzerland,1,1976,1970,4,April,Wednesday
9916,1976-05-06,Scotland,Wales,3,1,British Championship,Glasgow,Scotland,False,H,Scotland,Wales,4,1976,1970,5,May,Thursday
9917,1976-05-08,Scotland,Northern Ireland,3,0,British Championship,Glasgow,Scotland,False,H,Scotland,Northern Ireland,3,1976,1970,5,May,Saturday
9926,1976-05-15,Scotland,England,2,1,British Championship,Glasgow,Scotland,False,H,Scotland,England,3,1976,1970,5,May,Saturday
10039,1976-09-08,Scotland,Finland,6,0,Friendly,Glasgow,Scotland,False,H,Scotland,Finland,6,1976,1970,9,September,Wednesday
10153,1976-11-17,Scotland,Wales,1,0,FIFA World Cup qualification,Glasgow,Scotland,False,H,Scotland,Wales,1,1976,1970,11,November,Wednesday
10345,1977-04-27,Scotland,Sweden,3,1,Friendly,Glasgow,Scotland,False,H,Scotland,Sweden,4,1977,1970,4,April,Wednesday
